"Issue Id","Issue Type","Summary","Description","Priority","Story Points","Sprint","Assignee","Labels","Parent Id"
"19","Sub-task","Implement CameraPermission enum (VIEW, MANAGE)","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
"20","Sub-task","Add CameraAccess entity with granted_at timestamp","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
"21","Sub-task","Create domain/entities/camera_health.py","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
"22","Sub-task","Implement CameraHealth with performance metrics","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
"23","Sub-task","Add create() factory methods for both entities","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
"24","Task","S1 1.4 - Domain Layer: Repository Interfaces","Define abstract repository interfaces following Dependency Inversion Principle for Camera, CameraAccess, and CameraHealth persistence.

Technologies: Python ABC (Abstract Base Class), typing

Duration: 0.5 day

Assignee (role): Backend Developer

Acceptance Criteria:
- CameraRepositoryInterface with CRUD methods
- CameraAccessRepositoryInterface for permission management
- CameraHealthRepositoryInterface for health tracking
- All interfaces use ABC (Abstract Base Class)

Subtasks:
- Create domain/repositories/camera_repository.py (CameraRepositoryInterface)
- Add methods: find_by_id, find_by_owner, save, update, delete
- Create domain/repositories/camera_access_repository.py
- Add methods: find_by_camera, find_by_user, grant_access, revoke_access
- Create domain/repositories/camera_health_repository.py
- Add methods: find_latest, save, get_history","Highest","3","Sprint 1 - Camera Management Backend","","sprint-1",""
"25","Sub-task","Create domain/repositories/camera_repository.py (CameraRepositoryInterface)","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"26","Sub-task","Add methods: find_by_id, find_by_owner, save, update, delete","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"27","Sub-task","Create domain/repositories/camera_access_repository.py","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"28","Sub-task","Add methods: find_by_camera, find_by_user, grant_access, revoke_access","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"29","Sub-task","Create domain/repositories/camera_health_repository.py","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"30","Sub-task","Add methods: find_latest, save, get_history","Parent: S1 1.4 - Domain Layer: Repository Interfaces","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","24"
"31","Task","S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Create SQLAlchemy ORM models for database persistence and mapper classes to convert between domain entities and database models.

Technologies: SQLAlchemy 2.0, PostgreSQL UUID, ENUM types, JSON columns

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- CameraModel with all columns matching Camera entity
- CameraAccessModel for permissions table
- CameraHealthModel for health records table
- Proper foreign key relationships
- Indexes on owner_user_id, camera_id
- Mapper classes for entity ↔ model conversion

Subtasks:
- Create infrastructure/persistence/models/camera_model.py
- Define CameraModel with UUID primary key, enums, JSON for location
- Create infrastructure/persistence/models/camera_access_model.py
- Create infrastructure/persistence/models/camera_health_model.py
- Add foreign key constraints (camera_id → cameras.id)
- Create indexes on owner_user_id, camera_id, status
- Create infrastructure/persistence/mappers/ folder
- Implement CameraMapper.to_entity() and to_model()","Highest","4","Sprint 1 - Camera Management Backend","","sprint-1",""
"32","Sub-task","Create infrastructure/persistence/models/camera_model.py","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"33","Sub-task","Define CameraModel with UUID primary key, enums, JSON for location","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"34","Sub-task","Create infrastructure/persistence/models/camera_access_model.py","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"35","Sub-task","Create infrastructure/persistence/models/camera_health_model.py","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"36","Sub-task","Add foreign key constraints (camera_id → cameras.id)","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"37","Sub-task","Create indexes on owner_user_id, camera_id, status","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"38","Sub-task","Create infrastructure/persistence/mappers/ folder","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"39","Sub-task","Implement CameraMapper.to_entity() and to_model()","Parent: S1 1.5 - Infrastructure: SQLAlchemy Models & Mappers","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","31"
"40","Task","S1 1.6 - Infrastructure: Repository Implementations","Implement concrete repository classes using SQLAlchemy to handle database operations for cameras, access control, and health monitoring.

Technologies: SQLAlchemy Session, Query API, Exception handling

Duration: 1.5 days

Assignee (role): Backend Developer

Acceptance Criteria:
- SQLAlchemyCameraRepository implementing CameraRepositoryInterface
- SQLAlchemyCameraAccessRepository
- SQLAlchemyCameraHealthRepository
- Proper session management
- Error handling for not found, duplicate entries
- Transaction support

Subtasks:
- Create infrastructure/persistence/repositories/camera_repository_impl.py
- Implement find_by_id with CameraNotFoundException
- Implement find_by_owner returning List[Camera]
- Implement save, update, delete with session commit
- Create camera_access_repository_impl.py
- Implement grant_access, revoke_access, find_by_camera
- Create camera_health_repository_impl.py
- Implement save, find_latest, get_history with date filtering","Highest","5","Sprint 1 - Camera Management Backend","","sprint-1",""
"41","Sub-task","Create infrastructure/persistence/repositories/camera_repository_impl.py","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"42","Sub-task","Implement find_by_id with CameraNotFoundException","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"43","Sub-task","Implement find_by_owner returning List[Camera]","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"44","Sub-task","Implement save, update, delete with session commit","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"45","Sub-task","Create camera_access_repository_impl.py","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"46","Sub-task","Implement grant_access, revoke_access, find_by_camera","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"47","Sub-task","Create camera_health_repository_impl.py","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"48","Sub-task","Implement save, find_latest, get_history with date filtering","Parent: S1 1.6 - Infrastructure: Repository Implementations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","40"
"49","Task","S1 1.7 - Application Layer: Use Cases","Implement all camera management use cases as independent classes following single responsibility principle.

Technologies: Python classes, dependency injection, business logic validation

Duration: 2 days

Assignee (role): Backend Developer

Acceptance Criteria:
- CreateCameraUseCase with ownership assignment
- ListUserCamerasUseCase returning user's cameras
- GetCameraUseCase with ownership verification
- UpdateCameraUseCase with partial updates
- DeleteCameraUseCase with cascade cleanup
- ToggleCameraUseCase (Enable/Disable)
- RecordHealthUseCase for performance metrics
- Each use case validates business rules

Subtasks:
- Create application/use_cases/create_camera.py
- Validate stream_url format, assign owner_user_id
- Create application/use_cases/list_user_cameras.py
- Create application/use_cases/get_camera.py with ownership check
- Create application/use_cases/update_camera.py
- Allow partial updates (name, description, stream_url, location)
- Create application/use_cases/delete_camera.py
- Create application/use_cases/toggle_camera.py
- Implement enable/disable camera logic
- Create application/use_cases/record_health.py
- Update camera.last_heartbeat, create CameraHealth record","Highest","6","Sprint 1 - Camera Management Backend","","sprint-1",""
"50","Sub-task","Create application/use_cases/create_camera.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"51","Sub-task","Validate stream_url format, assign owner_user_id","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"52","Sub-task","Create application/use_cases/list_user_cameras.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"53","Sub-task","Create application/use_cases/get_camera.py with ownership check","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"54","Sub-task","Create application/use_cases/update_camera.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"55","Sub-task","Allow partial updates (name, description, stream_url, location)","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"56","Sub-task","Create application/use_cases/delete_camera.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"57","Sub-task","Create application/use_cases/toggle_camera.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"58","Sub-task","Implement enable/disable camera logic","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"59","Sub-task","Create application/use_cases/record_health.py","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"60","Sub-task","Update camera.last_heartbeat, create CameraHealth record","Parent: S1 1.7 - Application Layer: Use Cases","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","49"
"61","Task","S1 1.8 - Application Layer: DTOs (Request/Response)","Define Pydantic models for API request validation and response serialization.

Technologies: Pydantic 2.10+, BaseModel, Field validators, HttpUrl

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- CreateCameraRequest with all required fields
- UpdateCameraRequest with optional fields
- RecordHealthRequest with performance metrics
- CameraResponse with full camera details
- CameraListResponse for array responses
- HealthResponse for health metrics
- Proper validation (HttpUrl, positive integers, enums)

Subtasks:
- Create application/dtos/camera_requests.py
- Define CreateCameraRequest (name, stream_url, protocol, resolution, fps, encoding, type, location)
- Define UpdateCameraRequest with Optional fields
- Define RecordHealthRequest (latency_ms, frame_drop_rate, uptime_percentage)
- Create application/dtos/camera_responses.py
- Define CameraResponse matching Camera entity structure
- Define CameraListResponse with List[CameraResponse]
- Define HealthResponse with latest health data","High","3","Sprint 1 - Camera Management Backend","","sprint-1",""
"62","Sub-task","Create application/dtos/camera_requests.py","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"63","Sub-task","Define CreateCameraRequest (name, stream_url, protocol, resolution, fps, encoding, type, location)","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"64","Sub-task","Define UpdateCameraRequest with Optional fields","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"65","Sub-task","Define RecordHealthRequest (latency_ms, frame_drop_rate, uptime_percentage)","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"66","Sub-task","Create application/dtos/camera_responses.py","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"67","Sub-task","Define CameraResponse matching Camera entity structure","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"68","Sub-task","Define CameraListResponse with List[CameraResponse]","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"69","Sub-task","Define HealthResponse with latest health data","Parent: S1 1.8 - Application Layer: DTOs (Request/Response)","High","","Sprint 1 - Camera Management Backend","","sprint-1","61"
"70","Task","S1 1.9 - API Layer: FastAPI Routes","Create RESTful API endpoints for camera operations with JWT authentication, error handling, and proper HTTP status codes.

Technologies: FastAPI, APIRouter, Depends, HTTPException, status codes

Duration: 1.5 days

Assignee (role): Backend Developer

Acceptance Criteria:
- POST /cameras — Create camera
- GET /cameras — List user's cameras
- GET /cameras/{camera_id} — Get camera details
- PUT /cameras/{camera_id} — Update camera
- DELETE /cameras/{camera_id} — Delete camera
- PATCH /cameras/{camera_id}/enable — Enable camera
- PATCH /cameras/{camera_id}/disable — Disable camera
- POST /cameras/{camera_id}/health — Record health metrics
- JWT authentication on all endpoints
- Ownership validation
- OpenAPI documentation

Subtasks:
- Create api/routes/camera_routes.py with APIRouter
- Implement POST /cameras endpoint
- Add JWT dependency (get_current_user)
- Implement GET /cameras (list user cameras)
- Implement GET /cameras/{camera_id} with ownership check
- Implement PUT /cameras/{camera_id}
- Implement DELETE /cameras/{camera_id}
- Implement PATCH /cameras/{camera_id}/enable
- Implement PATCH /cameras/{camera_id}/disable
- Implement POST /cameras/{camera_id}/health
- Add error handling (404 Not Found, 403 Forbidden, 400 Bad Request)
- Add response models to all endpoints","Highest","5","Sprint 1 - Camera Management Backend","","sprint-1",""
"71","Sub-task","Create api/routes/camera_routes.py with APIRouter","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"72","Sub-task","Implement POST /cameras endpoint","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"73","Sub-task","Add JWT dependency (get_current_user)","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"74","Sub-task","Implement GET /cameras (list user cameras)","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"75","Sub-task","Implement GET /cameras/{camera_id} with ownership check","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"76","Sub-task","Implement PUT /cameras/{camera_id}","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"77","Sub-task","Implement DELETE /cameras/{camera_id}","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"78","Sub-task","Implement PATCH /cameras/{camera_id}/enable","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"79","Sub-task","Implement PATCH /cameras/{camera_id}/disable","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"80","Sub-task","Implement POST /cameras/{camera_id}/health","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"81","Sub-task","Add error handling (404 Not Found, 403 Forbidden, 400 Bad Request)","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"82","Sub-task","Add response models to all endpoints","Parent: S1 1.9 - API Layer: FastAPI Routes","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","70"
"83","Task","S1 1.10 - API Layer: JWT Authentication Dependencies","Implement JWT validation dependencies to extract and verify access tokens from Auth service.

Technologies: python-jose, JWT, HTTPBearer, FastAPI Depends

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- JWTHandler class for token validation
- get_current_user dependency extracting user_id and email
- HTTPBearer security scheme
- TokenExpiredException and InvalidTokenException handling
- Shared JWT_SECRET_KEY with Auth service

Subtasks:
- Create infrastructure/security/jwt_handler.py
- Implement verify_token(token) method
- Validate signature, expiry, token type
- Create api/dependencies/auth_deps.py
- Implement get_current_user dependency
- Extract token from Authorization header
- Return CurrentUser(user_id, email) NamedTuple
- Handle 401 Unauthorized errors","Highest","3","Sprint 1 - Camera Management Backend","","sprint-1",""
"84","Sub-task","Create infrastructure/security/jwt_handler.py","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"85","Sub-task","Implement verify_token(token) method","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"86","Sub-task","Validate signature, expiry, token type","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"87","Sub-task","Create api/dependencies/auth_deps.py","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"88","Sub-task","Implement get_current_user dependency","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"89","Sub-task","Extract token from Authorization header","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"90","Sub-task","Return CurrentUser(user_id, email) NamedTuple","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"91","Sub-task","Handle 401 Unauthorized errors","Parent: S1 1.10 - API Layer: JWT Authentication Dependencies","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","83"
"92","Task","S1 1.11 - Database Migrations","Create Alembic migration scripts for cameras, camera_access, and camera_health tables.

Technologies: Alembic, PostgreSQL DDL, SQL migrations

Duration: 0.5 day

Assignee (role): Backend Developer

Acceptance Criteria:
- Migration creates cameras table with all columns
- Migration creates camera_access table
- Migration creates camera_health table
- Foreign key constraints added
- Indexes created for performance
- Downgrade scripts working

Subtasks:
- Run `alembic revision --autogenerate -m ""Create camera tables""`
- Review generated migration script
- Add indexes on owner_user_id, status, camera_id
- Test migration: alembic upgrade head
- Test rollback: alembic downgrade -1
- Commit migration to version control","Highest","2","Sprint 1 - Camera Management Backend","","sprint-1",""
"93","Sub-task","Run `alembic revision --autogenerate -m ""Create camera tables""`","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"94","Sub-task","Review generated migration script","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"95","Sub-task","Add indexes on owner_user_id, status, camera_id","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"96","Sub-task","Test migration: alembic upgrade head","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"97","Sub-task","Test rollback: alembic downgrade -1","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"98","Sub-task","Commit migration to version control","Parent: S1 1.11 - Database Migrations","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","92"
"99","Task","S1 1.12 - Unit Tests: Domain Layer","Write comprehensive unit tests for domain entities, value objects, and business logic.

Technologies: Pytest, unittest.mock, datetime mocking

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- Test Camera entity methods (enable, disable, mark_online, update_config)
- Test CameraLocation validation
- Test CameraAccess creation
- Test CameraHealth creation
- Test enum values
- 80%+ code coverage on domain layer

Subtasks:
- Create tests/unit/test_camera_entity.py
- Test camera creation with factory method
- Test enable/disable status changes
- Test mark_online updates last_heartbeat
- Test update_config partial updates
- Create tests/unit/test_camera_location.py
- Test GPS coordinate validation
- Create tests/unit/test_camera_access.py
- Create tests/unit/test_camera_health.py","High","4","Sprint 1 - Camera Management Backend","","sprint-1",""
"100","Sub-task","Create tests/unit/test_camera_entity.py","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"101","Sub-task","Test camera creation with factory method","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"102","Sub-task","Test enable/disable status changes","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"103","Sub-task","Test mark_online updates last_heartbeat","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"104","Sub-task","Test update_config partial updates","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"105","Sub-task","Create tests/unit/test_camera_location.py","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"106","Sub-task","Test GPS coordinate validation","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"107","Sub-task","Create tests/unit/test_camera_access.py","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
"108","Sub-task","Create tests/unit/test_camera_health.py","Parent: S1 1.12 - Unit Tests: Domain Layer","High","","Sprint 1 - Camera Management Backend","","sprint-1","99"
